model,params_M,gflops,batch,half,lat_med_ms,lat_p95_ms,fps
yolov8s.yaml,11.167,28.81,1,0,4.92,6.93,203.2
yolov8s.yaml,11.167,28.81,1,1,6.17,8.65,162.1
yolov8s.yaml,11.167,28.81,16,0,52.28,56.43,306.0
yolov8s.yaml,11.167,28.81,16,1,32.91,34.19,486.2
yolov8s-rfd-p3.yaml,11.331,30.92,1,0,5.59,7.29,178.8
yolov8s-rfd-p3.yaml,11.331,30.92,1,1,6.5,10.04,153.8
yolov8s-rfd-p3.yaml,11.331,30.92,16,0,55.69,59.44,287.3
yolov8s-rfd-p3.yaml,11.331,30.92,16,1,33.11,33.4,483.2
yolov8s-rfd-p4.yaml,11.823,30.92,1,0,5.19,8.74,192.6
yolov8s-rfd-p4.yaml,11.823,30.92,1,1,6.35,9.93,157.4
yolov8s-rfd-p4.yaml,11.823,30.92,16,0,54.8,55.52,292.0
yolov8s-rfd-p4.yaml,11.823,30.92,16,1,32.68,32.97,489.6
yolov8s-rfd-presppf.yaml,13.791,30.91,1,0,5.19,8.75,192.7
yolov8s-rfd-presppf.yaml,13.791,30.91,1,1,6.49,10.5,154.0
yolov8s-rfd-presppf.yaml,13.791,30.91,16,0,54.53,55.03,293.4
yolov8s-rfd-presppf.yaml,13.791,30.91,16,1,32.41,32.83,493.6
yolov8s-rfd-postsppf.yaml,13.791,30.91,1,0,5.15,6.12,194.4
yolov8s-rfd-postsppf.yaml,13.791,30.91,1,1,6.4,8.28,156.4
yolov8s-rfd-postsppf.yaml,13.791,30.91,16,0,54.57,55.0,293.2
yolov8s-rfd-postsppf.yaml,13.791,30.91,16,1,32.41,32.65,493.7
yolov8s-capctrl.yaml,13.79,30.91,1,0,5.15,6.73,194.3
yolov8s-capctrl.yaml,13.79,30.91,1,1,6.5,7.88,153.9
yolov8s-capctrl.yaml,13.79,30.91,16,0,54.48,54.87,293.7
yolov8s-capctrl.yaml,13.79,30.91,16,1,32.38,32.62,494.2
