epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,run,train/rsl_loss,val/rsl_loss
1,32.3326,1.43553,1.6573,1.40128,0.65891,0.58999,0.6268,0.37445,1.40341,1.37082,1.41226,0.000207225,0.000207225,0.000207225,1_baseline_yolov8s,,
2,64.0788,1.42583,1.53532,1.40851,0.55691,0.50326,0.52161,0.29258,1.50425,1.64427,1.49612,0.000411444,0.000411444,0.000411444,1_baseline_yolov8s,,
3,95.6733,1.48537,1.65055,1.48119,0.55175,0.51278,0.51021,0.27583,1.58219,1.68347,1.5897,0.000611539,0.000611539,0.000611539,1_baseline_yolov8s,,
4,130.265,1.48036,1.67212,1.48949,0.58343,0.50242,0.51415,0.28412,1.58547,1.68528,1.6159,0.000606437,0.000606437,0.000606437,1_baseline_yolov8s,,
5,166.328,1.47039,1.61576,1.47487,0.59557,0.51624,0.53011,0.29553,1.54824,1.59553,1.55204,0.00060025,0.00060025,0.00060025,1_baseline_yolov8s,,
6,200.153,1.44489,1.57277,1.46237,0.60592,0.51982,0.54058,0.30433,1.54253,1.59272,1.56119,0.000594062,0.000594062,0.000594062,1_baseline_yolov8s,,
7,233.748,1.4295,1.53335,1.44847,0.61364,0.54139,0.56865,0.32485,1.52153,1.54518,1.54226,0.000587875,0.000587875,0.000587875,1_baseline_yolov8s,,
8,267.159,1.40616,1.4674,1.43817,0.60856,0.53012,0.56348,0.32437,1.52803,1.50582,1.54874,0.000581687,0.000581687,0.000581687,1_baseline_yolov8s,,
9,301.044,1.39305,1.4474,1.42877,0.65306,0.53507,0.573,0.3241,1.54734,1.48502,1.56005,0.0005755,0.0005755,0.0005755,1_baseline_yolov8s,,
10,334.555,1.36311,1.39013,1.40259,0.65359,0.54582,0.59305,0.3446,1.51612,1.48079,1.54048,0.000569313,0.000569313,0.000569313,1_baseline_yolov8s,,
11,368.214,1.35219,1.35665,1.3934,0.62436,0.55271,0.58788,0.34327,1.49899,1.47412,1.517,0.000563125,0.000563125,0.000563125,1_baseline_yolov8s,,
12,401.825,1.34995,1.34183,1.38797,0.62691,0.5715,0.61047,0.35326,1.49505,1.4049,1.51633,0.000556938,0.000556938,0.000556938,1_baseline_yolov8s,,
