run,source,mAP50,mAP50_95,AP_small,AP_medium,AP_large,n_small,n_medium,n_large
e3p__pos-postsppf__s0,"model.val (plots=False, save_json=True)",0.6944,0.4352,0.167,0.3098,0.5128,391,2000,3313
e6p__lam-1e-2__s0,"model.val (plots=False, save_json=True)",0.6959,0.435,0.1454,0.3068,0.5138,391,2000,3313
e7p__nwd-calib__s0,"model.val (plots=False, save_json=True)",0.6961,0.4368,0.1404,0.309,0.5156,391,2000,3313
e7p__nwd-scaleinv__s0,"model.val (plots=False, save_json=True)",0.6946,0.4369,0.1667,0.302,0.5122,391,2000,3313
e7p__nwd-sizegate__s0,"model.val (plots=False, save_json=True)",0.692,0.4307,0.163,0.3047,0.5071,391,2000,3313
e7p__nwd-calib-norsl__s0,"model.val (plots=False, save_json=True)",0.6981,0.4364,0.1817,0.3075,0.5129,391,2000,3313
e2p__postsppf__s1,"model.val (plots=False, save_json=True)",0.6985,0.4349,0.145,0.3088,0.5113,391,2000,3313
e2p__postsppf__s2,"model.val (plots=False, save_json=True)",0.6943,0.4324,0.1598,0.3129,0.5071,391,2000,3313
e2p__postsppf__s3,"model.val (plots=False, save_json=True)",0.6971,0.4353,0.1724,0.3145,0.5092,391,2000,3313
e6p__lam-1e-4__s0,"model.val (plots=False, save_json=True)",0.6935,0.4354,0.1739,0.3042,0.5128,391,2000,3313
e6p__lam-1e-4__s1,"model.val (plots=False, save_json=True)",0.6939,0.4327,0.1524,0.3072,0.5099,391,2000,3313
e6p__lam-1e-4__s2,"model.val (plots=False, save_json=True)",0.6989,0.4356,0.1638,0.3114,0.5091,391,2000,3313
