run,epoch,lambda_tv,train/box_loss,train/cls_loss,train/dfl_loss,train/det_loss,train/rsl_loss,weighted_rsl_loss,ratio_rsl_to_box,ratio_rsl_to_det,metrics/mAP50(B),metrics/mAP50-95(B)
e6p__lam-1e-5__s0,1,1e-05,1.43624,2.28208,1.39598,5.1143,0.08272,8.272000000000001e-07,5.759483094747397e-07,1.6174256496490235e-07,0.59193,0.3541
e6p__lam-1e-5__s0,2,1e-05,1.42241,1.66718,1.40143,4.491020000000001,0.11947,1.1947000000000002e-06,8.39912542797084e-07,2.6601974607104846e-07,0.52263,0.29441
e6p__lam-1e-5__s0,3,1e-05,1.47795,1.72936,1.46805,4.67536,0.15552,1.5552e-06,1.0522683446665988e-06,3.3263748673898906e-07,0.48876,0.27116
e6p__lam-1e-5__s0,4,1e-05,1.48168,1.74287,1.481,4.70555,0.1864,1.8640000000000003e-06,1.2580314237892124e-06,3.961279765383431e-07,0.50889,0.2786
e6p__lam-1e-5__s0,5,1e-05,1.47696,1.63741,1.47095,4.58532,0.18706,1.8706000000000001e-06,1.2665204203228252e-06,4.079540795407954e-07,0.52817,0.30166
e6p__lam-1e-5__s0,6,1e-05,1.45424,1.5934,1.45479,4.50243,0.1791,1.7910000000000003e-06,1.231571129937287e-06,3.977851959941632e-07,0.54237,0.30914
e6p__lam-1e-5__s0,7,1e-05,1.43029,1.52652,1.43861,4.39542,0.18238,1.8238e-06,1.2751260233938571e-06,4.149319063934732e-07,0.56308,0.32086
e6p__lam-1e-5__s0,8,1e-05,1.41447,1.47794,1.43607,4.32848,0.1747,1.7470000000000002e-06,1.235091589075767e-06,4.0360588474476033e-07,0.57564,0.32929
e6p__lam-1e-5__s0,9,1e-05,1.398,1.45872,1.42151,4.278230000000001,0.17508,1.7508000000000002e-06,1.2523605150214595e-06,4.092346601281371e-07,0.56868,0.32927
e6p__lam-1e-5__s0,10,1e-05,1.35988,1.40904,1.40018,4.1691,0.17525,1.7525e-06,1.2887166514692473e-06,4.2035451296442873e-07,0.58533,0.34318
e6p__lam-1e-5__s0,11,1e-05,1.35783,1.3896,1.39443,4.14186,0.18276,1.8276000000000003e-06,1.3459711451359892e-06,4.4125103214497837e-07,0.58949,0.34011
e6p__lam-1e-5__s0,12,1e-05,1.33971,1.3437,1.38208,4.06549,0.18441,1.8441e-06,1.3764919273574133e-06,4.535984592263172e-07,0.60212,0.34792
e6p__lam-1e-5__s0,13,1e-05,1.33427,1.29982,1.3657,3.99979,0.1856,1.856e-06,1.391022806478449e-06,4.6402436127896716e-07,0.61095,0.35959
e6p__lam-1e-5__s0,14,1e-05,1.30967,1.26191,1.35618,3.92776,0.18475,1.8475e-06,1.4106607007872215e-06,4.7036988003340326e-07,0.62343,0.36897
e6p__lam-1e-5__s0,15,1e-05,1.29848,1.24732,1.34334,3.88914,0.18952,1.8952e-06,1.459552707781406e-06,4.873056768334388e-07,0.62561,0.37223
e6p__lam-1e-5__s0,16,1e-05,1.28495,1.19745,1.33107,3.81347,0.19273,1.9273e-06,1.4999027199501927e-06,5.05392726309634e-07,0.62803,0.37754
e6p__lam-1e-5__s0,17,1e-05,1.28972,1.20308,1.34281,3.83561,0.18765,1.8765000000000002e-06,1.4549669695747917e-06,4.892311783523351e-07,0.63627,0.3798
e6p__lam-1e-5__s0,18,1e-05,1.2735,1.17445,1.32511,3.77306,0.19452,1.9452e-06,1.5274440518256771e-06,5.155497129650734e-07,0.63778,0.384
e6p__lam-1e-5__s0,19,1e-05,1.2563,1.14743,1.31156,3.71529,0.19773,1.9773e-06,1.5739075061689087e-06,5.322060996584386e-07,0.64762,0.3931
e6p__lam-1e-5__s0,20,1e-05,1.24427,1.13708,1.31162,3.6929700000000003,0.20151,2.0151e-06,1.619503805444156e-06,5.456583725294275e-07,0.65092,0.39096
e6p__lam-1e-5__s0,21,1e-05,1.24104,1.11198,1.30015,3.65317,0.20702,2.0702e-06,1.6681170631083608e-06,5.666859193522339e-07,0.66172,0.39868
e6p__lam-1e-5__s0,22,1e-05,1.22676,1.09534,1.29569,3.61779,0.20271,2.0271e-06,1.6524014477159346e-06,5.603144461121292e-07,0.66123,0.39617
e6p__lam-1e-5__s0,23,1e-05,1.21144,1.0704,1.28409,3.56593,0.19972,1.9972e-06,1.648616522485637e-06,5.600782965453613e-07,0.65332,0.39573
e6p__lam-1e-5__s0,24,1e-05,1.19985,1.04696,1.27294,3.51975,0.19485,1.9485e-06,1.6239529941242654e-06,5.535904538674622e-07,0.65933,0.40166
e6p__lam-1e-5__s0,25,1e-05,1.19543,1.03804,1.27464,3.5081100000000003,0.18974,1.8974e-06,1.5872112963536133e-06,5.408610334339573e-07,0.6538,0.39439
e6p__lam-1e-5__s0,26,1e-05,1.19454,1.01442,1.27505,3.4840100000000005,0.18665,1.8665000000000003e-06,1.5625261606978422e-06,5.35733249904564e-07,0.64769,0.38466
e6p__lam-1e-5__s0,27,1e-05,1.17962,0.99844,1.25541,3.43347,0.1785,1.785e-06,1.5131991658330652e-06,5.198822182806316e-07,0.65812,0.39684
e6p__lam-1e-5__s0,28,1e-05,1.1682,0.98,1.25401,3.40221,0.17609,1.7609000000000002e-06,1.5073617531244652e-06,5.17575340734405e-07,0.66282,0.39811
e6p__lam-1e-5__s0,29,1e-05,1.15582,0.97043,1.24865,3.3749000000000002,0.17214,1.7214e-06,1.4893322489661018e-06,5.100595573202168e-07,0.66579,0.39479
e6p__lam-1e-5__s0,30,1e-05,1.15314,0.96763,1.24318,3.36395,0.17378,1.7378000000000001e-06,1.5070156268969944e-06,5.165950742430774e-07,0.66869,0.40262
e6p__lam-1e-5__s0,31,1e-05,1.14205,0.93806,1.23613,3.3162399999999996,0.18421,1.8421000000000003e-06,1.6129766647694938e-06,5.554784937157746e-07,0.67125,0.40678
e6p__lam-1e-5__s0,32,1e-05,1.12796,0.92474,1.22425,3.2769500000000003,0.18829,1.8829000000000002e-06,1.6692967835738857e-06,5.745891759105266e-07,0.66878,0.41063
