run,lambda_tv,use_rsl,use_nwd,nwd_mode,nwd_c,size_tau,mAP50,mAP50_95,L_mean,L_std,pearson,spearman,gamma_final
e3p__pos-postsppf__s0,0.0,False,False,NA,NA,NA,0.6937,0.4348,0.7303,0.3281,-0.0260,-0.0020,0.003155
e6p__lam-1e-5__s0,1e-05,True,False,NA,NA,NA,0.6941,0.4317,0.8186,0.2339,-0.1116,-0.0917,0.016006
e6p__lam-1e-4__s0,0.0001,True,False,NA,NA,NA,0.6937,0.4349,0.9502,0.0967,-0.0158,0.0067,0.002043
e6p__lam-1e-4__s1,0.0001,True,False,NA,NA,NA,0.6942,0.4322,0.9364,0.1624,-0.1108,-0.1140,0.007996
e6p__lam-1e-4__s2,0.0001,True,False,NA,NA,NA,0.6978,0.4356,0.9736,0.083,-0.0413,0.0360,0.002247
e6p__lam-1e-3__s0,0.001,True,False,NA,NA,NA,0.6938,0.4303,0.5,0.0011,0.0132*,0.0233*,0.000282
e6p__lam-1e-2__s0,0.01,True,False,NA,NA,NA,0.696,0.4355,0.5001,0.0004,-0.0718*,-0.0467*,0.002626
e6p__lam-1e-1__s0,0.1,True,False,NA,NA,NA,0.6916,0.4329,0.5,0.0001,0.1087*,0.0901*,0.014175
e7p__nwd-calib__s0,0.01,True,True,abs,10.24,NA,0.6976,0.4376,0.5004,0.0024,0.0087*,0.0116*,0.011795
e7p__nwd-scaleinv__s0,0.01,True,True,scaleinv,0.3,NA,0.6935,0.4367,0.4995,0.0022,-0.1383*,-0.1599*,0.008553
e7p__nwd-calib-norsl__s0,0.0,False,True,abs,10.24,NA,0.6986,0.4357,0.657,0.3808,-0.1025,-0.0787,0.017899
e7p__nwd-sizegate__s0__broken,0.01,True,True,sizegate,10.24,5.12,0.5906,0.3607,0.8237,0.22,0.0742,0.0883,-0.00626
e7p__nwd-sizegate__s0__fixed,0.0001,True,True,sizegate,10.24,5.12,0.6933,0.4311,0.9128,0.1898,-0.0361,-0.1299,0.010483
