run,group,model,seed,epochs,lambda_tv,use_rsl,use_nwd,nwd_mode,nwd_c,size_tau,mAP50,mAP50_95,gamma_final,L_std_final
e6p__lam-1e-4__s0,E6,ultralytics/cfg/models/v8/yolov8s-rfd-postsppf.yaml,0,100,0.0001,,False,NA,NA,NA,0.6937,0.4349,+0.002043,NA
e6p__lam-1e-3__s0,E6,ultralytics/cfg/models/v8/yolov8s-rfd-postsppf.yaml,0,100,0.001,,False,NA,NA,NA,0.6938,0.4303,+0.000282,NA
e6p__lam-1e-2__s0,E6,ultralytics/cfg/models/v8/yolov8s-rfd-postsppf.yaml,0,100,0.01,,False,NA,NA,NA,0.6960,0.4355,+0.002626,NA
e6p__lam-1e-1__s0,E6,ultralytics/cfg/models/v8/yolov8s-rfd-postsppf.yaml,0,100,0.1,,False,NA,NA,NA,0.6916,0.4329,+0.014175,NA
e7p__nwd-calib__s0,E7,ultralytics/cfg/models/v8/yolov8s-rfd-postsppf.yaml,0,100,0.001,,True,abs,10.24,NA,0.6976,0.4376,+0.011795,NA
e7p__nwd-scaleinv__s0,E7,ultralytics/cfg/models/v8/yolov8s-rfd-postsppf.yaml,0,100,0.001,,True,scaleinv,0.3,NA,0.6935,0.4367,+0.008553,NA
e6p__lam-1e-5__s0,E6,ultralytics/cfg/models/v8/yolov8s-rfd-postsppf.yaml,0,100,1e-05,True,False,NA,NA,NA,0.6941,0.4317,+0.016006,NA
e6p__lam-1e-4__s1,E6,ultralytics/cfg/models/v8/yolov8s-rfd-postsppf.yaml,1,100,0.0001,True,False,NA,NA,NA,0.6942,0.4322,+0.007996,NA
e6p__lam-1e-4__s2,E6,ultralytics/cfg/models/v8/yolov8s-rfd-postsppf.yaml,2,100,0.0001,True,False,NA,NA,NA,0.6978,0.4356,+0.002247,NA
e7p__nwd-calib-norsl__s0,E7,ultralytics/cfg/models/v8/yolov8s-rfd-postsppf.yaml,0,100,0.0,False,True,abs,10.24,NA,0.6986,0.4357,+0.017899,NA
e7p__nwd-sizegate__s0,E7,ultralytics/cfg/models/v8/yolov8s-rfd-postsppf.yaml,0,100,0.0001,True,True,sizegate,10.24,5.12,0.6933,0.4311,-0.006260,NA
