run,lambda_tv,L_mean,L_std,mean_branch_multiplier,gamma_final,effective_scale
e3p__pos-postsppf__s0,0.0,0.7303,0.3281,0.2697,0.003155,0.000851
e6p__lam-1e-5__s0,1e-05,0.8186,0.2339,0.1814,0.016006,0.002903
e6p__lam-1e-4__s0,0.0001,0.9502,0.0967,0.0498,0.002043,0.000102
e6p__lam-1e-4__s1,0.0001,0.9364,0.1624,0.0636,0.007996,0.000509
e6p__lam-1e-4__s2,0.0001,0.9736,0.083,0.0264,0.002247,0.000059
e6p__lam-1e-3__s0,0.001,0.5,0.0011,0.5,0.000282,0.000141
e6p__lam-1e-2__s0,0.01,0.5001,0.0004,0.4999,0.002626,0.001313
e6p__lam-1e-1__s0,0.1,0.5,0.0001,0.5,0.014175,0.007088
e7p__nwd-calib__s0,0.01,0.5004,0.0024,0.4996,0.011795,0.005893
e7p__nwd-scaleinv__s0,0.01,0.4995,0.0022,0.5005,0.008553,0.004281
e7p__nwd-calib-norsl__s0,0.0,0.657,0.3808,0.343,0.017899,0.006139
e7p__nwd-sizegate__s0__broken,0.01,0.8237,0.22,0.1763,-0.00626,-0.001104
e7p__nwd-sizegate__s0__fixed,0.0001,0.9128,0.1898,0.0872,0.010483,0.000914
