run,lambda_tv,pearson,spearman,L_mean,L_std,gamma_final
lam0,0.0,-0.026,-0.002,0.7303,0.3281,0.003155
e6p__lam-1e-5__s0,1e-05,-0.1116,-0.0917,0.8186,0.2339,0.016006
e6p__lam-1e-4__s0,0.0001,-0.0158,0.0067,0.9502,0.0967,0.002043
e6p__lam-1e-4__s1,0.0001,-0.1108,-0.114,0.9364,0.1624,0.007996
e6p__lam-1e-4__s2,0.0001,-0.0413,0.036,0.9736,0.083,0.002247
e6p__lam-1e-3__s0,0.001,0.0132,0.0233,0.5,0.0011,0.000282
e6p__lam-1e-2__s0,0.01,-0.0718,-0.0467,0.5001,0.0004,0.002626
e6p__lam-1e-1__s0,0.1,0.1087,0.0901,0.5,0.0001,0.014175
e7p__nwd-calib-norsl__s0,,-0.1025,-0.0787,0.657,0.3808,0.017899
e7p__nwd-calib__s0,,0.0087,0.0116,0.5004,0.0024,0.011795
e7p__nwd-scaleinv__s0,,-0.1383,-0.1599,0.4995,0.0022,0.008553
e7p__nwd-sizegate__s0,,-0.0361,-0.1299,0.9128,0.1898,0.010483
